id_dialogue,id_character,id_scene,id_place,sentiment_afinn,dialogue_length,love_count,inserted_at,updated_at
33,32,2,8,,15,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
34,21,2,8,,22,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
35,31,2,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
36,21,2,8,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
37,31,2,8,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
38,1,2,8,,2,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
39,31,2,8,,2,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
40,1,2,8,,72,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
41,31,2,8,,12,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
42,31,2,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
43,161,2,8,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
44,1,2,8,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
45,139,2,8,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
46,31,2,8,,2,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
47,32,2,8,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
48,31,2,8,,4,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
49,32,2,8,,18,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
50,32,3,8,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
51,1,3,8,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
52,21,3,8,,2,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
53,1,3,8,,21,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
54,21,3,8,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
55,32,3,8,,21,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
56,21,3,8,,7,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
57,1,3,8,,7,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
58,32,3,8,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
59,21,3,8,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
60,32,3,8,,28,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
61,1,3,8,,14,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
62,32,3,8,,11,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
63,21,3,8,,8,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
64,31,3,8,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
65,1,3,8,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
66,21,3,8,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
67,21,3,8,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
68,32,3,8,,8,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
69,21,3,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
70,21,3,8,,15,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
71,1,3,8,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
72,21,3,8,,30,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
73,31,3,8,,8,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
74,21,3,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
75,31,3,8,,8,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
76,21,3,8,,7,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
77,1,3,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
78,21,3,8,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
79,1,3,8,,7,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
80,21,3,8,,12,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
81,31,3,8,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
82,1,4,10,,4,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
83,21,4,10,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
84,5,4,10,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
85,21,4,10,,13,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
86,5,4,10,,33,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
87,31,4,10,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
88,1,4,10,,2,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
89,5,4,10,,38,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
90,1,4,10,,2,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
91,5,4,10,,13,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
92,1,4,10,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
93,5,4,10,,15,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
94,1,4,10,,2,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
95,5,4,10,,15,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
96,1,4,10,,2,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
97,5,4,10,,4,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
98,1,4,10,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
99,5,4,10,,17,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
100,1,4,10,,16,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
101,5,4,10,,21,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
102,1,4,10,,21,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
103,21,4,10,,18,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
104,1,4,10,,11,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
105,32,4,10,,98,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
106,1,4,10,,12,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
107,5,4,10,,11,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
108,32,4,10,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
109,5,4,10,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
110,21,4,10,,4,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
111,5,4,10,,15,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
112,1,4,10,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
113,5,4,10,,43,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
114,21,4,10,,14,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
115,5,4,10,,8,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
116,31,4,10,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
117,5,4,10,,21,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
118,1,4,10,,1,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
119,5,4,10,,17,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
120,1,5,5,,12,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
121,5,5,5,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
122,1,5,5,,14,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
123,5,5,5,,15,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
124,1,5,5,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
125,5,5,5,,8,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
126,1,5,5,,32,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
127,5,5,5,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
128,92,5,5,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
129,5,5,5,,18,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
130,92,5,5,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
131,139,5,5,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
132,132,5,5,,12,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
133,41,5,5,,12,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
134,5,5,5,,23,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
135,1,5,5,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
136,41,5,5,,11,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
137,5,5,5,,10,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
